Date,Open,High,Low,Close,Adj Close,Volume
2025-02-17,308.1,310.3,302.0,305.35,305.35,7507772
2025-02-14,310.05,312.4,304.55,308.1,308.1,7371341
2025-02-13,310.3,313.65,306.95,308.55,308.55,8832731
2025-02-12,313.45,315.75,309.35,310.2,310.2,9668342
2025-02-11,319.5,320.4,311.6,313.0,313.0,10627890
2025-02-10,318.8,321.0,315.85,319.05,319.05,12304840
2025-02-07,319.0,319.0,314.0,318.0,318.0,8589587
2025-02-06,320.0,323.6,314.55,317.95,317.95,15062390
2025-02-05,317.8,321.45,314.9,317.1,317.1,9628027
2025-02-04,318.0,318.85,313.35,316.25,316.25,15366864
2025-02-03,303.0,314.0,300.3,313.6,313.6,14877076
2025-02-01,312.55,313.25,303.35,304.8,304.8,6046117
2025-01-31,311.7,315.7,309.55,311.9,311.9,15597644
2025-01-30,311.0,313.7,305.95,309.0,309.0,9984186
2025-01-29,305.05,314.7,305.05,312.45,312.45,16338112
2025-01-28,304.0,307.6,301.55,303.6,303.6,12077491
2025-01-27,317.8,319.15,306.75,307.95,307.95,12372895
2025-01-24,319.0,322.5,316.6,320.1,320.1,17479586
2025-01-23,311.1,324.6,310.65,317.7,317.7,39904371
2025-01-22,299.35,310.0,299.35,309.1,309.1,30859317
2025-01-21,302.4,305.85,297.8,298.35,298.35,15619474
2025-01-20,302.0,305.4,296.95,300.25,300.25,39380165
2025-01-17,287.8,287.8,280.5,281.95,281.95,9358955
2025-01-16,295.9,296.5,286.7,288.05,288.05,10345666
2025-01-15,293.0,294.7,289.7,292.65,292.65,4662694
2025-01-14,291.8,294.55,286.55,292.85,292.85,7670070
2025-01-13,298.95,299.25,290.25,291.85,291.85,9541248
2025-01-10,294.3,303.25,294.3,300.55,300.55,19505556
2025-01-09,297.0,298.0,291.35,292.3,292.3,7964702
2025-01-08,293.0,298.45,289.3,297.55,297.55,7937785
2025-01-07,294.3,297.5,291.3,294.05,294.05,7381943
2025-01-06,295.0,297.8,290.55,294.3,294.3,9173687
2025-01-03,303.3,303.8,294.0,294.45,294.45,12535720
2025-01-02,298.0,304.45,297.15,303.8,303.8,8800435
2025-01-01,300.0,303.35,298.95,300.3,300.3,7878201
2024-12-31,300.95,303.0,295.25,301.85,301.85,9337030
2024-12-30,309.1,309.4,302.65,303.7,303.7,13709891
2024-12-27,305.2,310.9,304.7,309.1,309.1,8063921
2024-12-26,305.4,306.95,304.0,305.05,305.05,6516148
2024-12-24,307.5,309.2,302.8,305.3,305.3,8837902
2024-12-23,306.6,310.65,305.0,307.9,307.9,6693583
2024-12-20,315.5,320.0,304.4,305.2,305.2,22214824
2024-12-19,306.35,313.4,301.15,312.75,312.75,12405595
2024-12-18,309.0,313.25,308.55,312.6,312.6,10965226
2024-12-17,311.0,312.25,307.3,308.85,308.85,10568517
2024-12-16,310.0,311.4,307.1,309.2,309.2,7221189
2024-12-13,309.1,311.05,304.2,309.95,309.95,7382211
2024-12-12,308.0,313.8,307.45,309.1,309.1,12958440
2024-12-11,308.15,309.9,305.55,309.0,309.0,8608406
2024-12-10,306.0,311.0,303.45,308.1,308.1,17028502
2024-12-09,295.0,305.7,293.75,303.75,303.75,9285213
2024-12-06,299.15,299.15,296.2,297.35,297.35,7894350
2024-12-05,295.0,300.9,293.9,299.3,299.3,13487264
2024-12-04,294.65,297.0,291.8,294.0,294.0,14036431
2024-12-03,295.35,296.2,289.3,291.65,291.65,15445286
2024-12-02,582.45,585.55,578.2,584.55,584.55,5597000
2024-11-29,575.0,580.75,571.6,577.85,577.85,4270056
2024-11-28,585.75,586.0,570.55,572.2,572.2,5948278
2024-11-27,591.5,596.0,581.9,582.9,582.9,6829838
2024-11-26,585.0,590.35,579.3,589.0,589.0,7885670
2024-11-25,575.5,587.55,573.9,582.45,582.45,11648737
2024-11-22,561.95,573.6,557.9,571.65,571.65,7366616
2024-11-21,562.0,567.6,555.3,557.15,557.15,5836304
2024-11-19,556.0,569.8,554.7,562.0,562.0,6459889
2024-11-18,566.7,566.7,540.3,552.85,552.85,7644882
2024-11-14,568.95,574.55,564.2,566.7,566.7,4891760
2024-11-13,570.0,573.6,565.55,569.0,569.0,5695600
2024-11-12,575.0,579.7,569.05,570.65,570.65,5630445
2024-11-11,569.0,583.2,566.05,573.5,573.5,8069722
2024-11-08,565.0,578.8,565.0,569.0,569.0,10426329
2024-11-07,566.0,569.7,554.45,563.4,563.4,5998571
2024-11-06,547.45,565.85,541.0,563.9,563.9,9777442
2024-11-05,543.0,545.35,540.4,543.7,543.7,3431130
2024-11-04,551.0,552.45,534.2,540.8,540.8,4927780
2024-11-01,551.7,554.9,550.0,551.35,551.35,981405
2024-10-31,564.8,566.3,548.3,551.8,551.8,7840047
2024-10-30,562.5,578.75,561.1,565.25,565.25,10377746
2024-10-29,559.8,563.4,553.25,562.2,562.2,6027815
2024-10-28,543.45,559.8,542.7,558.6,558.6,5592929
2024-10-25,549.75,552.0,540.5,543.45,543.45,5062270
2024-10-24,547.2,550.5,545.15,546.9,546.9,4788302
2024-10-23,547.5,554.5,542.2,547.2,547.2,6349288
2024-10-22,549.8,555.5,543.85,545.45,545.45,9239150
2024-10-21,551.6,561.9,547.0,548.1,548.1,11983482
2024-10-18,532.0,558.4,524.8,548.65,548.65,37326527
2024-10-17,534.95,538.0,525.05,528.75,528.75,11877639
2024-10-16,533.0,538.8,529.0,532.15,532.15,6276811
2024-10-15,552.85,552.85,530.85,532.95,532.95,10800626
2024-10-14,538.7,551.85,536.3,549.55,549.55,16568133
2024-10-11,520.35,534.4,520.35,528.3,528.3,4218491
2024-10-10,535.0,537.6,523.45,525.0,525.0,6310122
2024-10-09,529.8,538.7,528.5,531.15,531.15,4420844
2024-10-08,531.55,533.8,520.3,526.95,526.95,5751402
2024-10-07,538.0,541.7,525.95,531.45,531.45,4939037
2024-10-04,528.05,541.95,528.05,533.55,533.55,5961377
2024-10-03,540.1,542.4,526.25,530.15,530.15,7017684
2024-10-01,540.2,549.6,540.2,546.75,546.75,4705637
2024-09-30,538.0,544.5,534.0,541.45,541.45,4099723
2024-09-27,548.9,558.9,540.7,541.8,541.8,13231192
2024-09-26,538.7,543.1,535.7,541.9,541.9,5701700
2024-09-25,538.8,539.4,530.75,536.2,536.2,4032598
2024-09-24,532.2,541.9,529.35,539.55,539.55,6177847
2024-09-23,539.1,540.4,532.0,534.9,534.9,4272145
2024-09-20,537.9,540.75,531.0,539.1,539.1,8332116
2024-09-19,544.2,551.45,529.15,533.35,533.35,10484591
2024-09-18,549.05,549.05,532.65,538.15,538.15,8332760
2024-09-17,549.0,554.9,547.05,551.9,551.9,4364119
2024-09-16,553.0,556.85,549.0,551.9,551.9,5544289
2024-09-13,533.8,552.5,530.85,550.6,550.6,17959853
2024-09-12,520.45,532.0,517.75,530.05,530.05,7889737
2024-09-11,525.0,526.25,513.25,514.35,514.35,4130762
2024-09-10,516.8,528.0,514.0,525.75,525.75,5143636
2024-09-09,517.1,521.75,513.45,514.85,514.85,5959770
2024-09-06,524.85,529.9,518.45,520.6,520.6,7289977
2024-09-05,521.2,526.0,519.5,524.85,524.85,6034559
2024-09-04,528.0,528.25,516.75,519.15,519.15,10201064
2024-09-03,533.0,540.85,529.5,536.05,536.05,7528343
2024-09-02,538.4,542.0,531.85,532.45,532.45,7867991
2024-08-30,541.7,542.0,535.7,538.4,538.4,9717402
2024-08-29,535.0,541.95,534.05,538.7,538.7,12842659
2024-08-28,520.0,538.1,517.85,534.6,534.6,17187783
2024-08-27,520.0,523.25,516.0,517.15,517.15,3982898
2024-08-26,516.0,524.8,515.95,520.0,520.0,8675690
2024-08-23,519.9,521.45,511.35,512.4,512.4,5638853
2024-08-22,527.8,530.55,518.05,519.0,519.0,5748253
2024-08-21,523.4,528.1,521.05,526.35,526.35,3227201
2024-08-20,519.9,527.6,519.65,524.65,524.65,4771906
2024-08-19,516.0,523.2,513.7,519.75,519.75,5733281
2024-08-16,501.0,517.45,497.95,516.25,516.25,12965570
2024-08-14,493.0,496.85,490.45,495.15,495.15,5560878
2024-08-13,489.05,492.7,487.15,490.5,490.5,3144709
2024-08-12,491.55,494.0,487.4,489.05,489.05,3669234
2024-08-09,495.35,496.45,489.65,491.3,491.3,3032974
2024-08-08,494.0,494.0,486.35,487.3,487.3,6580285
2024-08-07,498.7,500.1,492.65,497.4,497.4,3539913
2024-08-06,489.75,499.35,486.6,489.5,489.5,5635792
2024-08-05,490.0,495.85,480.25,485.0,485.0,10969040
2024-08-02,515.0,519.25,501.0,502.15,502.15,7826114
2024-08-01,523.0,526.8,517.5,521.55,521.55,5379876
2024-07-31,521.8,524.9,519.45,522.0,522.0,3879254
2024-07-30,524.4,526.95,519.75,521.5,521.5,5408263
2024-07-29,528.0,530.55,522.85,524.4,524.4,6005777
2024-07-26,510.0,528.55,508.5,524.8,524.8,13076998
2024-07-25,496.0,507.5,493.3,506.85,506.85,10943945
2024-07-24,502.5,506.35,499.85,500.1,500.1,6120138
2024-07-23,508.0,508.0,486.35,500.55,500.55,12923816
2024-07-22,521.0,526.75,501.55,505.8,505.8,38007284
2024-07-19,579.9,579.9,554.7,557.2,557.2,13261745
2024-07-18,556.55,574.4,556.35,573.2,573.2,12509893
2024-07-16,561.85,562.6,556.4,559.7,559.7,5619531
2024-07-15,566.9,566.9,556.15,559.7,559.7,8049739
2024-07-12,545.0,564.8,541.55,560.15,560.15,27093021
